gvkey,ceoname,directorid,execid
001045,Doug Parker,273457,46191
001161,Lisa Su,542142,37809
001161,Rory Read,1126646,42390
001177,Mark Bertolini,485804,31029
001300,David Cote,36856,20931
001327,David Aldrich,327474,17260
001327,Liam Griffin,327486,24319
001380,John Hess,64947,2132
001408,Matt Shattock,487410,42397
001414,Glenn Williams,1090761,43826
001440,Nick Akins,533555,40778
001447,Kenneth Irvine Chenault,32557,2157
001449,Daniel Amos,36555,13
001487,Peter Hancock,514940,18477
001487,Robert Benmosche,27126,20972
001587,Jeffry Sterba,183490,4739
001602,Robert A. Bradway,534543,33199
001690,Tim Cook,55422,11717
001704,Gary Dickerson,50901,13932
001878,Carl Bass,207884,24798
001878,Andrew Anagnost,1203207,49611
001891,Carlos Rodriguez,745222,36251
001919,Rick Hamada,329147,25661
002136,Lowell McAdam,533764,32564
002176,Warren Buffett,32543,125
002269,William Cobb,35248,23593
002282,Steven Davis,488494,32132
002285,Jim McNerney,32370,23288
002285,Dennis Muilenburg,881229,42427
002393,Todd Teske,371291,28766
002403,Giovanni Caforio,857412,45376
002444,Mark Schawbero,342708,3037
002444,Dustan McCoy,140952,14479
002547,David Cordani,486024,29332
002574,Michael Ward,52242,23192
002596,Kenneth Asbury,797815,44868
002663,Denise Morrison,310487,34167
002710,Rob Sands,82522,13570
002751,George Barrett,541636,6395
002817,Doug Oberhelman,41541,23001
002968,Jamie Dimon,33908,3766
002968,Mary Erdoes,762906,38129
002991,John Watson,33263,23369
003028,Bob Evans,336902,49924
003105,Bob Pittman,7574,12743
003121,Donald Knauss,203813,32795
003121,Benno Dorer,750963,46422
003144,Steve Cahillane,455061,35072
003144,James Quincey,877797,48576
003226,Brian Roberts,35803,233
003243,Sanford Weill,31463,778
003243,Michael Corbat,604908,40812
003362,Sean Connolly,837621,43570
003382,Jon Oringer,1273096,49935
003505,Peter Swinburn,333928,27976
003505,Mark Hunter,553359,35317
003532,Wendell Weeks,49961,18411
003650,Tom Linebarger,203776,23034
003708,Emil Brolick,50176,24543
003708,Todd Penegor,540965,45703
003813,Gregg Steinhafel,34867,6031
003813,Brian Cornell,310363,28093
003835,Sam Allen,36850,30715
003851,Richard Anderson,35484,17593
003851,Ed Bastian,333894,30352
003946,Andreas Walter Mattes,482047,45394
003980,Bob Iger,16457,1557
004029,Tom Farrell,36934,16386
004040,Tom Quinlan,334134,28147
004060,Andrew Liveris,106669,26094
004072,David R. Jaffe,275498,10087
004201,Tom Faust,84507,14278
004423,Rick Smitch,346029,29414
004503,Rex Tillerson,32122,26689
004560,Howard Levine,57322,13992
004598,Frederick Smith,43076,341
004605,Don Wood,332472,33048
004611,Terry Lundgren,55412,14904
004611,Jeff Gennette,889544,44167
004737,Bryan Jordan,51306,31008
004818,David Seaton,532411,35166
004839,Alan Mulally,34627,16436
004839,Mark Fields,42556,29617
005047,Jeffrey Immelt,32367,20859
005047,Keith Sherin,32377,30798
005071,Ken Powell,36178,28542
005072,Michael Carpenter,31458,16267
005073,Daniel Akerson,1704,407
005073,Mary Barra,892349,44629
005518,Brian Goldner,205487,21212
005597,John P. Bilbrey,204293,30900
005606,Meg Whitman,34345,5706
005606,Dion Weisler,1315443,45434
005643,Christopher Nassetta,180239,31068
005680,Frank Blake,32457,24762
005680,Craig Menear,536170,32642
005709,Jeffrey Ettinger,323356,27334
005723,Frits Van Paasschen,36212,29791
005750,Ara Hovnanian,141402,29694
006008,Brian Krzanich,764621,44188
006066,Ginni Rometty,484812,35092
006078,Andreas Fibig,548131,46900
006081,Troy Clarke,488890,43670
006097,Patti Hart,181593,27231
006104,John Faraci,43286,23217
006104,Mark Sutton,621903,42529
006136,Michael I. Roth,48701,20069
006266,Alex Gorsky,747756,42535
006268,Alex Molinaroli,594011,36409
006310,Rich Kinder,38016,1547
006375,John Bryant,36263,27604
006502,David Dillon,35928,2771
006502,Rodney McMullen,35937,16568
006565,Martin B. Anstice,452542,30439
006653,Joseph Sullivan,270211,25030
006669,Stuart Miller,61812,10425
006730,John Lechleiter,33316,23011
006730,David Ricks,1068880,52782
006781,James Tisch,36800,993
007017,Lee Tillman,1314672,45458
007063,Ed Walter,205948,31069
007085,Keith Allman,1135450,47322
007116,Bryan Stockton,36904,26626
007146,Alan Wilson,330485,27424
007146,Lawrence Kurzius,481697,30760
007154,Don Thompson,534948,41220
007154,Steve Easterbrook,894295,47327
007228,Omar Ishrak,837065,43432
007241,Larry Merlo,45626,13502
007257,Kenneth C. Frazier,31551,29095
007316,Chuck Rubin,336089,28030
007343,Mark Durcan,56477,15930
007343,Sanjay Mehrotra,205405,21604
007366,Leo P. Denault,204855,27714
007435,Inge Thulin,534445,32590
007585,Greg Brown,42861,18593
007647,Brian Moynihan,35043,25970
007750,Trevor Fetter,56296,11923
007866,Mark Thompson,986691,43911
007875,Michael B. Polk,40891,42583
007881,Gary Goldberg,873256,43913
007906,Phil Knight,36172,685
007906,Mark Parker,36206,3048
007923,Wick Moorman,48601,21199
007923,Jim Squires,534106,32705
007991,Ronald DeFeo,141727,31033
008007,Richard Kovacevich,32910,1328
008007,John Stumpf,33015,24449
008007,Tim Sloan,1042437,42593
008030,John Ferriola,206615,26034
008068,Stephen I. Chazen,36173,14382
008214,Michael Thaman,206062,22528
008245,William Demchak,44576,24423
008247,Michael McGarry,624113,40879
008402,Marty Mucci,39151,27162
008446,Ron Johnson,55467,20856
008446,Marvin Ellison,489833,35380
008457,Joseph Coradino,341104,33336
008475,Michael Odell,549656,33618
008479,Indra Nooyi,33356,18812
008530,Ian Read,485621,30886
008539,Christopher Crane,534954,32586
008549,Ryan Lance,486834,38529
008551,Manny Chirico,207452,19333
008606,Marc Lautenbach,1077856,44248
008762,Alan Lafley,25002,15843
008762,David Scott Taylor,549272,48233
008807,Patricia Vincent-Collawn,57422,33392
008823,Richard Dugas Jr.,204784,24550
008898,Paul Reilly,275776,23614
008902,Frank Sullivan,140381,8743
009063,Mike Jackson,60542,20766
009299,Robert E. Sanchez,456191,32681
009555,Jerome A. Peribere,1008949,44256
009778,Nicholas Pinchuk,206568,24380
009783,Beth Mooney,50551,23128
009850,Thomas Fanning,325858,26831
009882,Gary Kelly,44881,19108
009899,Randall Stephenson,33072,27541
009899,Ralph de la Vega,554006,32505
009904,Steven Mueller,206976,35280
010016,John Lundgren,183806,12485
010016,James M. Loree,204774,18649
010115,Kevin Lobo,1117420,42656
010187,William H. Rogers Jr.,44521,30814
010443,Gregg Sherrill,513148,33472
010453,Mark E. Jagiela,488571,29787
010549,Bob Martin,1070055,43690
010567,John Duffey,323379,40910
010567,Reid-Anderson,323363,40912
010581,Jim Griffith,89042,18252
010793,Donnie Smith,597046,34756
010793,Tom Hayes,1268100,43572
010795,Oscar Munoz,160071,26145
010795,Jeff Smisek,87412,41273
010867,Jack Koraleski,40336,27629
010867,Lance Fritz,603672,42680
010920,Scott Davis,33529,27633
010920,David Abney,41806,29227
010983,Gregory J. Hayes,203663,30791
010984,Dan Hesse,54581,29161
010984,Marcelo Claure,547928,48015
011032,Alan B. Miller,81852,8337
011060,Eric Wiseman,206276,23160
011234,Garry Ridge,202864,10049
011259,Mike Duke,32079,24746
011259,Doug McMillon,32097,35687
011259,Bill Simon,502153,41288
011296,Terry McCallister,203312,22922
011456,Dan Fulton,331634,27475
011465,Jeff Fettig,62752,14379
011506,Alan S. Armstrong,443291,29764
011511,Laura J. Alber,206589,23926
011537,Randy Potts,507456,42200
011537,Micheal Happe,516817,45498
011584,Dick Johnson,1010900,11360
011636,Ursula Burns,36098,23451
011636,Jeff Jacobson,536839,47395
011649,James Welch,335182,25005
011770,Ron Kruszewski,335535,35936
011856,Kelly King,39271,10662
011861,Gerald Lipkin,81887,37186
012124,James Gorman,34080,24436
012141,Bill Gates,31621,635
012141,Steve Ballmer,31668,2967
012141,Satya Nadella,499383,44939
012142,Jeffrey O. Henley,33468,3366
012142,Mark Vincent Hurd,86007,18929
012142,Safra Catz,33503,27208
012215,T.J. Rodgers,180412,5315
012215,Hassane El-Khoury,1269387,49137
012389,Keith Wandell,51956,25767
012389,Matt Levatich,535083,37212
012395,Douglas Yearley,1053922,40933
012485,Dexter Goei,1383123,50980
012540,Shantanu Narayen,49351,20790
012726,Thomas Watjen,81617,6282
012788,Dinesh Paliwal,356,34187
012825,Gerry Shreiber,338694,7879
012950,Mike Molinini,498975,30097
013003,Mike Sutherlin,203519,13201
013381,David Klein,342871,11663
013498,Gerry Cahill,35290,9860
013498,Arnold Donald,35264,45517
013540,Gregg Engles,60396,16050
013599,Robert Hugin,84112,35700
013599,Mark Alles,1203855,44657
013714,Leslie Moonves,25017,14541
013721,Juan Ramon Alaix,1075570,44952
014027,Alan McKim,371645,37277
014311,Scott Wine,538091,35112
014359,Scott Sheffield,66062,736
014359,Timothy Dove,206177,14992
014370,Jonas Prising,484096,32525
014412,Tad Smith,1010558,49167
014418,Jim Murren,58481,23285
014438,Naren Gursahaney,200619,32380
014477,David Steiner,35694,26530
014477,Jim Fish,1119364,44318
014489,Michael S. Dell,32603,281
014790,Steven Hilton,200320,26570
014822,Bill Berkley,82207,124
014898,Avi Reichental,63797,42755
014934,David Hager,62347,27781
015414,Chuck Kummeth,1134582,44956
015520,Michael Barnes,181544,17833
015521,Thomas Stemberg,45611,885
015708,David Pyott,16689,16461
015855,Greg Clark,1068227,51776
016116,Gary Wojtaszek,454835,35802
016384,Rod Martin,33059,14385
016478,Mark G Papa,58521,1440
016721,Andrew Wilson,1207036,44810
017120,Greg Becker,344990,26254
017874,John Legere,200407,27292
017874,Braxton Carter,598487,36124
017934,Doug Sanders,989451,48732
018291,Martin Plaehn,206832,51787
018383,James Taylor,1253149,43863
018578,Margaret Kelly,1343527,48738
018624,Susan Devore,1324846,64089
018838,William Jenkins,1097073,51802
018872,Dick Costolo,481563,55347
018872,Jack Dorsey,1132809,55351
019352,Sheila Lirio Marcelo,1334463,55678
019580,Joseph Ripp,14167,46368
019580,Rich Battista,310360,51441
019649,Tom Klein,456261,29850
019906,Matt Maloney,1260335,57131
019927,Ken Moelis,1008398,63835
020423,Gary Loveman,61092,16582
020430,Jack Remondi,43236,23367
020686,Margaret M. Keane,1111132,48391
020779,John Chambers,31670,1417
020779,Chuck Robbins,536628,44984
020904,Stephen P. MacMillan,41481,25904
021124,Steve Sather,1451487,50062
021487,Amin Khoury,25109,1644
021825,Bruce Van Saun,35815,14582
022325,Moshe Gavrlelov,350055,10578
022672,Randy Garutti,1464892,50286
023071,Blake Irving,1077516,41652
023238,Chad Dickerson,1349878,57147
023252,Farooq Kathwari,88797,9847
023697,J. Clifford Hudson,141229,9385
023812,Leonard Schleifer,201093,9752
023843,Charles R. Morrison,515592,50292
023978,Mario Longhi,643509,44012
024076,Mark Butler,1354817,50070
024113,Ron Shaich,182052,6428
024171,Michael MacDonald,879711,11930
024197,Jonathan W. Ayers,34403,21002
024291,Julia Stewart,53911,19454
024344,Jeffrey Leiden,33491,23051
024405,Anders Gustafsson,204453,23146
024468,George Scangos,272786,41346
024468,Michel Vounatsos,1694109,51476
024616,Dan Schulman,54611,22147
024731,David Henry,142180,26161
024750,Jonathan Steinberg,1190245,47958
024782,Joe Papa,206108,24736
024800,Paul Jacobs,34514,22816
024800,Steve Mollenkopf,640531,36696
024861,Chris Rondeau,1605029,63850
024893,John Mackey,61837,7530
024893,Walter Robb,203266,18198
024978,Oliver G. Brewer III,348230,44373
025056,Jeffery Bewkes,36730,24597
025119,Jeffery Lorberbaum,64542,8449
025157,Frank Bisignano,534932,35314
025180,Martin Richenhagen,183922,27857
025283,Kevin Mansell,35698,13382
025356,Tim Wentworth,272649,28110
025434,Howard Schultz,35235,887
025434,Kevin Johnson,31844,27193
025509,David Dunlap,54767,15946
025756,Scott Dietzen,1248928,64526
025964,Sam Thomas,604495,48086
026156,Meg Whitman,34345,5706
027119,Michael Wilson,220333,12114
027780,Dan Hurwitz,180658,29722
027786,Robert D. Lawler,890396,46256
027794,Chuck Swoboda,90127,18580
027907,Tarang Amin,750957,59348
027928,Brad Smith,444827,28880
027980,James E. Lillie,335658,17016
028191,Adam Goldstein,444372,46761
028191,Richard Fain,13413,46764
028295,Maurice Taylor,448371,11995
028340,Steven Tanger,275490,33430
028349,Tom Wilson,34944,10669
028408,Dan Coker,346381,47504
028629,Richard Campo,338840,32870
028648,David Lenhardt,453231,30039
028733,David Neithercut,207481,21144
028806,Chris Anzalone,592729,57229
028930,Arne Sorenson,38571,20993
029011,Keith Smith,326639,25835
029082,Stephen Lebovitz,180832,51498
029108,Andy Hendricks,1194201,44415
029127,Herve Hoppenot,1249099,47509
029392,Mark Costa,534777,32619
029609,Irwin Simon,202998,18277
029733,Ward Nye,841525,33192
029736,Greg Sandfort,452181,28409
029751,Luke Kissam,487275,29189
